"Index Num","Country of Origin","Country of Origin-ISO2","Asylum Data",Year,Age,Sex,"Country of Asylum"
0,Finland,FI,0,2019,Total,Females,Austria
1,Finland,FI,0,2019,Total,Females,Belgium
2,Finland,FI,0,2019,Total,Females,Bulgaria
3,Finland,FI,0,2019,Total,Females,Switzerland
4,Finland,FI,0,2019,Total,Females,Cyprus
5,Finland,FI,0,2019,Total,Females,Czechia
6,Finland,FI,0,2019,Total,Females,"Germany (until 1990 former territory of the FRG)"
7,Finland,FI,0,2019,Total,Females,Denmark
8,Finland,FI,0,2019,Total,Females,Estonia
9,Finland,FI,0,2019,Total,Females,Greece
10,Finland,FI,0,2019,Total,Females,Spain
11,Finland,FI,0,2019,Total,Females,"European Union - 27 countries (from 2020)"
12,Finland,FI,0,2019,Total,Females,"European Union - 28 countries (2013-2020)"
13,Finland,FI,0,2019,Total,Females,Finland
14,Finland,FI,0,2019,Total,Females,France
15,Finland,FI,0,2019,Total,Females,Croatia
16,Finland,FI,0,2019,Total,Females,Hungary
17,Finland,FI,0,2019,Total,Females,Ireland
18,Finland,FI,0,2019,Total,Females,Iceland
19,Finland,FI,0,2019,Total,Females,Italy
20,Finland,FI,0,2019,Total,Females,Liechtenstein
21,Finland,FI,0,2019,Total,Females,Lithuania
22,Finland,FI,0,2019,Total,Females,Luxembourg
23,Finland,FI,0,2019,Total,Females,Latvia
24,Finland,FI,0,2019,Total,Females,Malta
25,Finland,FI,0,2019,Total,Females,Netherlands
26,Finland,FI,0,2019,Total,Females,Norway
27,Finland,FI,0,2019,Total,Females,Poland
28,Finland,FI,0,2019,Total,Females,Portugal
29,Finland,FI,0,2019,Total,Females,Romania
30,Finland,FI,0,2019,Total,Females,Sweden
31,Finland,FI,0,2019,Total,Females,Slovenia
32,Finland,FI,0,2019,Total,Females,Slovakia
33,Finland,FI,0,2019,Total,Females,Total
34,Finland,FI,0,2019,Total,Females,"United Kingdom"
35,Finland,FI,0,2019,Unknown,Females,Austria
36,Finland,FI,0,2019,Unknown,Females,Belgium
37,Finland,FI,0,2019,Unknown,Females,Bulgaria
38,Finland,FI,0,2019,Unknown,Females,Switzerland
39,Finland,FI,0,2019,Unknown,Females,Cyprus
40,Finland,FI,0,2019,Unknown,Females,Czechia
41,Finland,FI,0,2019,Unknown,Females,"Germany (until 1990 former territory of the FRG)"
42,Finland,FI,0,2019,Unknown,Females,Denmark
43,Finland,FI,0,2019,Unknown,Females,Estonia
44,Finland,FI,0,2019,Unknown,Females,Greece
45,Finland,FI,0,2019,Unknown,Females,Spain
46,Finland,FI,0,2019,Unknown,Females,"European Union - 27 countries (from 2020)"
47,Finland,FI,0,2019,Unknown,Females,"European Union - 28 countries (2013-2020)"
48,Finland,FI,0,2019,Unknown,Females,Finland
49,Finland,FI,0,2019,Unknown,Females,France
50,Finland,FI,0,2019,Unknown,Females,Croatia
51,Finland,FI,0,2019,Unknown,Females,Hungary
52,Finland,FI,0,2019,Unknown,Females,Ireland
53,Finland,FI,0,2019,Unknown,Females,Iceland
54,Finland,FI,0,2019,Unknown,Females,Italy
55,Finland,FI,0,2019,Unknown,Females,Liechtenstein
56,Finland,FI,0,2019,Unknown,Females,Lithuania
57,Finland,FI,0,2019,Unknown,Females,Luxembourg
58,Finland,FI,0,2019,Unknown,Females,Latvia
59,Finland,FI,0,2019,Unknown,Females,Malta
60,Finland,FI,0,2019,Unknown,Females,Netherlands
61,Finland,FI,0,2019,Unknown,Females,Norway
62,Finland,FI,0,2019,Unknown,Females,Poland
63,Finland,FI,0,2019,Unknown,Females,Portugal
64,Finland,FI,0,2019,Unknown,Females,Romania
65,Finland,FI,0,2019,Unknown,Females,Sweden
66,Finland,FI,0,2019,Unknown,Females,Slovenia
67,Finland,FI,0,2019,Unknown,Females,Slovakia
68,Finland,FI,0,2019,Unknown,Females,Total
69,Finland,FI,0,2019,Unknown,Females,"United Kingdom"
70,Finland,FI,0,2019,"From 14 to 17 years",Females,Austria
71,Finland,FI,0,2019,"From 14 to 17 years",Females,Belgium
72,Finland,FI,0,2019,"From 14 to 17 years",Females,Bulgaria
73,Finland,FI,0,2019,"From 14 to 17 years",Females,Switzerland
74,Finland,FI,0,2019,"From 14 to 17 years",Females,Cyprus
75,Finland,FI,0,2019,"From 14 to 17 years",Females,Czechia
76,Finland,FI,0,2019,"From 14 to 17 years",Females,"Germany (until 1990 former territory of the FRG)"
77,Finland,FI,0,2019,"From 14 to 17 years",Females,Denmark
78,Finland,FI,0,2019,"From 14 to 17 years",Females,Estonia
79,Finland,FI,0,2019,"From 14 to 17 years",Females,Greece
80,Finland,FI,0,2019,"From 14 to 17 years",Females,Spain
81,Finland,FI,0,2019,"From 14 to 17 years",Females,"European Union - 27 countries (from 2020)"
82,Finland,FI,0,2019,"From 14 to 17 years",Females,"European Union - 28 countries (2013-2020)"
83,Finland,FI,0,2019,"From 14 to 17 years",Females,Finland
84,Finland,FI,0,2019,"From 14 to 17 years",Females,France
85,Finland,FI,0,2019,"From 14 to 17 years",Females,Croatia
86,Finland,FI,0,2019,"From 14 to 17 years",Females,Hungary
87,Finland,FI,0,2019,"From 14 to 17 years",Females,Ireland
88,Finland,FI,0,2019,"From 14 to 17 years",Females,Iceland
89,Finland,FI,0,2019,"From 14 to 17 years",Females,Italy
90,Finland,FI,0,2019,"From 14 to 17 years",Females,Liechtenstein
91,Finland,FI,0,2019,"From 14 to 17 years",Females,Lithuania
92,Finland,FI,0,2019,"From 14 to 17 years",Females,Luxembourg
93,Finland,FI,0,2019,"From 14 to 17 years",Females,Latvia
94,Finland,FI,0,2019,"From 14 to 17 years",Females,Malta
95,Finland,FI,0,2019,"From 14 to 17 years",Females,Netherlands
96,Finland,FI,0,2019,"From 14 to 17 years",Females,Norway
97,Finland,FI,0,2019,"From 14 to 17 years",Females,Poland
98,Finland,FI,0,2019,"From 14 to 17 years",Females,Portugal
99,Finland,FI,0,2019,"From 14 to 17 years",Females,Romania
100,Finland,FI,0,2019,"From 14 to 17 years",Females,Sweden
101,Finland,FI,0,2019,"From 14 to 17 years",Females,Slovenia
102,Finland,FI,0,2019,"From 14 to 17 years",Females,Slovakia
103,Finland,FI,0,2019,"From 14 to 17 years",Females,Total
104,Finland,FI,0,2019,"From 14 to 17 years",Females,"United Kingdom"
105,Finland,FI,0,2019,"From 18 to 34 years",Females,Austria
106,Finland,FI,0,2019,"From 18 to 34 years",Females,Belgium
107,Finland,FI,0,2019,"From 18 to 34 years",Females,Bulgaria
108,Finland,FI,0,2019,"From 18 to 34 years",Females,Switzerland
109,Finland,FI,0,2019,"From 18 to 34 years",Females,Cyprus
110,Finland,FI,0,2019,"From 18 to 34 years",Females,Czechia
111,Finland,FI,0,2019,"From 18 to 34 years",Females,"Germany (until 1990 former territory of the FRG)"
112,Finland,FI,0,2019,"From 18 to 34 years",Females,Denmark
113,Finland,FI,0,2019,"From 18 to 34 years",Females,Estonia
114,Finland,FI,0,2019,"From 18 to 34 years",Females,Greece
115,Finland,FI,0,2019,"From 18 to 34 years",Females,Spain
116,Finland,FI,0,2019,"From 18 to 34 years",Females,"European Union - 27 countries (from 2020)"
117,Finland,FI,0,2019,"From 18 to 34 years",Females,"European Union - 28 countries (2013-2020)"
118,Finland,FI,0,2019,"From 18 to 34 years",Females,Finland
119,Finland,FI,0,2019,"From 18 to 34 years",Females,France
120,Finland,FI,0,2019,"From 18 to 34 years",Females,Croatia
121,Finland,FI,0,2019,"From 18 to 34 years",Females,Hungary
122,Finland,FI,0,2019,"From 18 to 34 years",Females,Ireland
123,Finland,FI,0,2019,"From 18 to 34 years",Females,Iceland
124,Finland,FI,0,2019,"From 18 to 34 years",Females,Italy
125,Finland,FI,0,2019,"From 18 to 34 years",Females,Liechtenstein
126,Finland,FI,0,2019,"From 18 to 34 years",Females,Lithuania
127,Finland,FI,0,2019,"From 18 to 34 years",Females,Luxembourg
128,Finland,FI,0,2019,"From 18 to 34 years",Females,Latvia
129,Finland,FI,0,2019,"From 18 to 34 years",Females,Malta
130,Finland,FI,0,2019,"From 18 to 34 years",Females,Netherlands
131,Finland,FI,0,2019,"From 18 to 34 years",Females,Norway
132,Finland,FI,0,2019,"From 18 to 34 years",Females,Poland
133,Finland,FI,0,2019,"From 18 to 34 years",Females,Portugal
134,Finland,FI,0,2019,"From 18 to 34 years",Females,Romania
135,Finland,FI,0,2019,"From 18 to 34 years",Females,Sweden
136,Finland,FI,0,2019,"From 18 to 34 years",Females,Slovenia
137,Finland,FI,0,2019,"From 18 to 34 years",Females,Slovakia
138,Finland,FI,0,2019,"From 18 to 34 years",Females,Total
139,Finland,FI,0,2019,"From 18 to 34 years",Females,"United Kingdom"
140,Finland,FI,0,2019,"From 35 to 64 years",Females,Austria
141,Finland,FI,0,2019,"From 35 to 64 years",Females,Belgium
142,Finland,FI,0,2019,"From 35 to 64 years",Females,Bulgaria
143,Finland,FI,0,2019,"From 35 to 64 years",Females,Switzerland
144,Finland,FI,0,2019,"From 35 to 64 years",Females,Cyprus
145,Finland,FI,0,2019,"From 35 to 64 years",Females,Czechia
146,Finland,FI,0,2019,"From 35 to 64 years",Females,"Germany (until 1990 former territory of the FRG)"
147,Finland,FI,0,2019,"From 35 to 64 years",Females,Denmark
148,Finland,FI,0,2019,"From 35 to 64 years",Females,Estonia
149,Finland,FI,0,2019,"From 35 to 64 years",Females,Greece
150,Finland,FI,0,2019,"From 35 to 64 years",Females,Spain
151,Finland,FI,0,2019,"From 35 to 64 years",Females,"European Union - 27 countries (from 2020)"
152,Finland,FI,0,2019,"From 35 to 64 years",Females,"European Union - 28 countries (2013-2020)"
153,Finland,FI,0,2019,"From 35 to 64 years",Females,Finland
154,Finland,FI,0,2019,"From 35 to 64 years",Females,France
155,Finland,FI,0,2019,"From 35 to 64 years",Females,Croatia
