"Index Num","Country of Origin","Country of Origin-ISO2","Asylum Data",Year,Month,"Month No",Age,Sex,"Country of Asylum","HCR Regional Bureau"
0,AF,Afghanistan,65,2020,Jan,1,Total,Females,Austria,"Asia & Pacific"
1,AF,Afghanistan,45,2020,Feb,2,Total,Females,Austria,"Asia & Pacific"
3,AF,Afghanistan,35,2020,Jan,1,Total,Females,Belgium,"Asia & Pacific"
4,AF,Afghanistan,15,2020,Feb,2,Total,Females,Belgium,"Asia & Pacific"
5,AF,Afghanistan,10,2020,Mar,3,Total,Females,Belgium,"Asia & Pacific"
9,AF,Afghanistan,45,2020,Jan,1,Total,Females,Switzerland,"Asia & Pacific"
10,AF,Afghanistan,35,2020,Feb,2,Total,Females,Switzerland,"Asia & Pacific"
11,AF,Afghanistan,25,2020,Mar,3,Total,Females,Switzerland,"Asia & Pacific"
18,AF,Afghanistan,390,2020,Jan,1,Total,Females,"Germany (until 1990 former territory of the FRG)","Asia & Pacific"
19,AF,Afghanistan,330,2020,Feb,2,Total,Females,"Germany (until 1990 former territory of the FRG)","Asia & Pacific"
20,AF,Afghanistan,260,2020,Mar,3,Total,Females,"Germany (until 1990 former territory of the FRG)","Asia & Pacific"
21,AF,Afghanistan,5,2020,Jan,1,Total,Females,Denmark,"Asia & Pacific"
27,AF,Afghanistan,1575,2020,Jan,1,Total,Females,Greece,"Asia & Pacific"
28,AF,Afghanistan,1440,2020,Feb,2,Total,Females,Greece,"Asia & Pacific"
33,AF,Afghanistan,2260,2020,Jan,1,Total,Females,"European Union - 27 countries (from 2020)","Asia & Pacific"
34,AF,Afghanistan,2000,2020,Feb,2,Total,Females,"European Union - 27 countries (from 2020)","Asia & Pacific"
35,AF,Afghanistan,320,2020,Mar,3,Total,Females,"European Union - 27 countries (from 2020)","Asia & Pacific"
36,AF,Afghanistan,2290,2020,Jan,1,Total,Females,"European Union - 28 countries (2013-2020)","Asia & Pacific"
40,AF,Afghanistan,5,2020,Feb,2,Total,Females,Finland,"Asia & Pacific"
42,AF,Afghanistan,95,2020,Jan,1,Total,Females,France,"Asia & Pacific"
43,AF,Afghanistan,90,2020,Feb,2,Total,Females,France,"Asia & Pacific"
46,AF,Afghanistan,10,2020,Feb,2,Total,Females,Croatia,"Asia & Pacific"
49,AF,Afghanistan,5,2020,Feb,2,Total,Females,Hungary,"Asia & Pacific"
55,AF,Afghanistan,5,2020,Feb,2,Total,Females,Iceland,"Asia & Pacific"
58,AF,Afghanistan,15,2020,Feb,2,Total,Females,Italy,"Asia & Pacific"
75,AF,Afghanistan,35,2020,Jan,1,Total,Females,Netherlands,"Asia & Pacific"
76,AF,Afghanistan,15,2020,Feb,2,Total,Females,Netherlands,"Asia & Pacific"
77,AF,Afghanistan,15,2020,Mar,3,Total,Females,Netherlands,"Asia & Pacific"
78,AF,Afghanistan,5,2020,Jan,1,Total,Females,Norway,"Asia & Pacific"
84,AF,Afghanistan,5,2020,Jan,1,Total,Females,Portugal,"Asia & Pacific"
90,AF,Afghanistan,40,2020,Jan,1,Total,Females,Sweden,"Asia & Pacific"
91,AF,Afghanistan,25,2020,Feb,2,Total,Females,Sweden,"Asia & Pacific"
92,AF,Afghanistan,35,2020,Mar,3,Total,Females,Sweden,"Asia & Pacific"
