"Index Num","Asylum Data",Year,Age,Sex,"Country of Asylum"
0,20,2016,"From 14 to 15 years",Females,Austria
1,5,2016,"From 14 to 15 years",Females,Austria
2,0,2016,"From 14 to 15 years",Females,Austria
3,0,2016,"From 14 to 15 years",Females,Austria
4,0,2016,"From 14 to 15 years",Females,Austria
5,0,2016,"From 14 to 15 years",Females,Austria
6,5,2016,"From 14 to 15 years",Females,Austria
7,0,2016,"From 14 to 15 years",Females,Austria
8,0,2016,"From 14 to 15 years",Females,Austria
9,10,2016,"From 14 to 15 years",Females,Austria
10,5,2016,"From 14 to 15 years",Females,Austria
11,5,2016,"From 14 to 15 years",Females,Austria
12,0,2016,"From 14 to 15 years",Females,Austria
13,0,2016,"From 14 to 15 years",Females,Austria
14,0,2016,"From 14 to 15 years",Females,Austria
15,0,2016,"From 14 to 15 years",Females,Austria
16,0,2016,"From 14 to 15 years",Females,Austria
17,0,2016,"From 14 to 15 years",Females,Austria
18,115,2016,"From 14 to 15 years",Females,Austria
19,25,2016,"From 14 to 15 years",Females,Austria
20,10,2016,"From 14 to 15 years",Females,Austria
21,5,2016,"From 14 to 15 years",Females,Austria
22,0,2016,"From 14 to 15 years",Females,Austria
23,0,2016,"From 14 to 15 years",Females,Austria
24,0,2016,"From 14 to 15 years",Females,Austria
25,0,2016,"From 14 to 15 years",Females,Austria
26,0,2016,"From 14 to 15 years",Females,Austria
27,10,2016,"From 14 to 15 years",Females,Austria
28,5,2016,"From 14 to 15 years",Females,Austria
29,10,2016,"From 14 to 15 years",Females,Austria
30,0,2016,"From 14 to 15 years",Females,Austria
31,0,2016,"From 14 to 15 years",Females,Austria
32,0,2016,"From 14 to 15 years",Females,Austria
33,175,2016,"From 14 to 15 years",Females,Austria
34,45,2016,"From 14 to 15 years",Females,Austria
35,30,2016,"From 14 to 15 years",Females,Austria
36,0,2016,"From 14 to 15 years",Females,Austria
37,0,2016,"From 14 to 15 years",Females,Austria
38,0,2016,"From 14 to 15 years",Females,Austria
39,0,2016,"From 14 to 15 years",Females,Austria
40,0,2016,"From 14 to 15 years",Females,Austria
41,0,2016,"From 14 to 15 years",Females,Austria
42,0,2016,"From 14 to 15 years",Females,Austria
43,0,2016,"From 14 to 15 years",Females,Austria
44,0,2016,"From 14 to 15 years",Females,Austria
45,0,2016,"From 14 to 15 years",Females,Austria
46,0,2016,"From 14 to 15 years",Females,Austria
47,0,2016,"From 14 to 15 years",Females,Austria
48,0,2016,"From 14 to 15 years",Females,Austria
49,0,2016,"From 14 to 15 years",Females,Austria
50,0,2016,"From 14 to 15 years",Females,Austria
51,0,2016,"From 14 to 15 years",Females,Austria
52,0,2016,"From 14 to 15 years",Females,Austria
53,0,2016,"From 14 to 15 years",Females,Austria
54,0,2016,"From 14 to 15 years",Females,Austria
55,0,2016,"From 14 to 15 years",Females,Austria
56,0,2016,"From 14 to 15 years",Females,Austria
57,0,2016,"From 14 to 15 years",Females,Austria
58,0,2016,"From 14 to 15 years",Females,Austria
59,0,2016,"From 14 to 15 years",Females,Austria
60,0,2016,"From 14 to 15 years",Females,Austria
61,0,2016,"From 14 to 15 years",Females,Austria
62,0,2016,"From 14 to 15 years",Females,Austria
63,0,2016,"From 14 to 15 years",Females,Austria
64,0,2016,"From 14 to 15 years",Females,Austria
65,0,2016,"From 14 to 15 years",Females,Austria
66,0,2016,"From 14 to 15 years",Females,Austria
67,0,2016,"From 14 to 15 years",Females,Austria
68,0,2016,"From 14 to 15 years",Females,Austria
69,0,2016,"From 14 to 15 years",Females,Austria
70,0,2016,"From 14 to 15 years",Females,Austria
71,0,2016,"From 14 to 15 years",Females,Austria
72,5,2016,"From 14 to 15 years",Females,Austria
73,5,2016,"From 14 to 15 years",Females,Austria
74,5,2016,"From 14 to 15 years",Females,Austria
75,5,2016,"From 14 to 15 years",Females,Austria
76,0,2016,"From 14 to 15 years",Females,Austria
77,0,2016,"From 14 to 15 years",Females,Austria
78,0,2016,"From 14 to 15 years",Females,Austria
79,0,2016,"From 14 to 15 years",Females,Austria
80,0,2016,"From 14 to 15 years",Females,Austria
81,0,2016,"From 14 to 15 years",Females,Austria
82,0,2016,"From 14 to 15 years",Females,Austria
83,0,2016,"From 14 to 15 years",Females,Austria
84,0,2016,"From 14 to 15 years",Females,Austria
85,0,2016,"From 14 to 15 years",Females,Austria
86,0,2016,"From 14 to 15 years",Females,Austria
87,15,2016,"From 14 to 15 years",Females,Austria
88,5,2016,"From 14 to 15 years",Females,Austria
89,5,2016,"From 14 to 15 years",Females,Austria
90,0,2016,"From 14 to 15 years",Females,Austria
91,0,2016,"From 14 to 15 years",Females,Austria
92,0,2016,"From 14 to 15 years",Females,Austria
93,0,2016,"From 14 to 15 years",Females,Austria
94,0,2016,"From 14 to 15 years",Females,Austria
95,0,2016,"From 14 to 15 years",Females,Austria
96,190,2016,"From 14 to 15 years",Females,Austria
97,50,2016,"From 14 to 15 years",Females,Austria
98,35,2016,"From 14 to 15 years",Females,Austria
99,0,2016,"From 14 to 15 years",Females,Austria
100,0,2016,"From 14 to 15 years",Females,Austria
101,0,2016,"From 14 to 15 years",Females,Austria
102,35,2016,"From 14 to 15 years",Females,Austria
103,10,2016,"From 14 to 15 years",Females,Austria
104,5,2016,"From 14 to 15 years",Females,Austria
105,5,2016,"From 14 to 15 years",Females,Austria
106,0,2016,"From 14 to 15 years",Females,Austria
107,0,2016,"From 14 to 15 years",Females,Austria
108,5,2016,"From 14 to 15 years",Females,Austria
109,0,2016,"From 14 to 15 years",Females,Austria
110,0,2016,"From 14 to 15 years",Females,Austria
111,10,2016,"From 14 to 15 years",Females,Austria
112,5,2016,"From 14 to 15 years",Females,Austria
113,5,2016,"From 14 to 15 years",Females,Austria
114,0,2016,"From 14 to 15 years",Females,Austria
115,0,2016,"From 14 to 15 years",Females,Austria
116,0,2016,"From 14 to 15 years",Females,Austria
117,0,2016,"From 14 to 15 years",Females,Austria
118,0,2016,"From 14 to 15 years",Females,Austria
119,0,2016,"From 14 to 15 years",Females,Austria
120,255,2016,"From 14 to 15 years",Females,Austria
121,90,2016,"From 14 to 15 years",Females,Austria
122,30,2016,"From 14 to 15 years",Females,Austria
123,15,2016,"From 14 to 15 years",Females,Austria
124,0,2016,"From 14 to 15 years",Females,Austria
125,0,2016,"From 14 to 15 years",Females,Austria
126,0,2016,"From 14 to 15 years",Females,Austria
127,0,2016,"From 14 to 15 years",Females,Austria
128,0,2016,"From 14 to 15 years",Females,Austria
129,20,2016,"From 14 to 15 years",Females,Austria
130,10,2016,"From 14 to 15 years",Females,Austria
131,15,2016,"From 14 to 15 years",Females,Austria
132,0,2016,"From 14 to 15 years",Females,Austria
133,0,2016,"From 14 to 15 years",Females,Austria
134,0,2016,"From 14 to 15 years",Females,Austria
135,385,2016,"From 14 to 15 years",Females,Austria
136,135,2016,"From 14 to 15 years",Females,Austria
137,70,2016,"From 14 to 15 years",Females,Austria
138,0,2016,"From 14 to 15 years",Females,Austria
139,0,2016,"From 14 to 15 years",Females,Austria
140,0,2016,"From 14 to 15 years",Females,Austria
141,5,2016,"From 14 to 15 years",Females,Austria
142,0,2016,"From 14 to 15 years",Females,Austria
143,0,2016,"From 14 to 15 years",Females,Austria
