"Index Num","Country of Origin","Country of Origin-ISO2","Monthly Asylum Data",Year,Month,Age,Sex,"Country of Asylum"
0,Afghanistan,AF,65,2019,09,Total,Females,Austria
1,Afghanistan,AF,55,2019,10,Total,Females,Austria
2,Afghanistan,AF,60,2019,11,Total,Females,Austria
3,Afghanistan,AF,65,2019,12,Total,Females,Austria
4,Afghanistan,AF,20,2019,09,Total,Females,Belgium
5,Afghanistan,AF,35,2019,10,Total,Females,Belgium
6,Afghanistan,AF,35,2019,11,Total,Females,Belgium
7,Afghanistan,AF,15,2019,12,Total,Females,Belgium
8,Afghanistan,AF,0,2019,09,Total,Females,Bulgaria
9,Afghanistan,AF,0,2019,10,Total,Females,Bulgaria
10,Afghanistan,AF,0,2019,11,Total,Females,Bulgaria
11,Afghanistan,AF,0,2019,12,Total,Females,Bulgaria
12,Afghanistan,AF,50,2019,09,Total,Females,Switzerland
13,Afghanistan,AF,45,2019,10,Total,Females,Switzerland
14,Afghanistan,AF,35,2019,11,Total,Females,Switzerland
15,Afghanistan,AF,35,2019,12,Total,Females,Switzerland
16,Afghanistan,AF,0,2019,09,Total,Females,Cyprus
17,Afghanistan,AF,0,2019,10,Total,Females,Cyprus
18,Afghanistan,AF,0,2019,11,Total,Females,Cyprus
19,Afghanistan,AF,0,2019,12,Total,Females,Cyprus
20,Afghanistan,AF,0,2019,09,Total,Females,Czechia
21,Afghanistan,AF,0,2019,10,Total,Females,Czechia
22,Afghanistan,AF,0,2019,11,Total,Females,Czechia
23,Afghanistan,AF,0,2019,12,Total,Females,Czechia
24,Afghanistan,AF,440,2019,09,Total,Females,"Germany (until 1990 former territory of the FRG)"
25,Afghanistan,AF,375,2019,10,Total,Females,"Germany (until 1990 former territory of the FRG)"
26,Afghanistan,AF,320,2019,11,Total,Females,"Germany (until 1990 former territory of the FRG)"
27,Afghanistan,AF,260,2019,12,Total,Females,"Germany (until 1990 former territory of the FRG)"
28,Afghanistan,AF,5,2019,09,Total,Females,Denmark
29,Afghanistan,AF,0,2019,10,Total,Females,Denmark
30,Afghanistan,AF,0,2019,11,Total,Females,Denmark
31,Afghanistan,AF,5,2019,12,Total,Females,Denmark
32,Afghanistan,AF,0,2019,09,Total,Females,Estonia
33,Afghanistan,AF,0,2019,10,Total,Females,Estonia
34,Afghanistan,AF,0,2019,11,Total,Females,Estonia
35,Afghanistan,AF,0,2019,12,Total,Females,Estonia
36,Afghanistan,AF,845,2019,09,Total,Females,Greece
37,Afghanistan,AF,1525,2019,10,Total,Females,Greece
38,Afghanistan,AF,1710,2019,11,Total,Females,Greece
39,Afghanistan,AF,1385,2019,12,Total,Females,Greece
40,Afghanistan,AF,0,2019,09,Total,Females,Spain
41,Afghanistan,AF,5,2019,10,Total,Females,Spain
42,Afghanistan,AF,0,2019,11,Total,Females,Spain
43,Afghanistan,AF,0,2019,12,Total,Females,Spain
44,Afghanistan,AF,1580,2019,09,Total,Females,"European Union - 27 countries (from 2020)"
45,Afghanistan,AF,2135,2019,10,Total,Females,"European Union - 27 countries (from 2020)"
46,Afghanistan,AF,2270,2019,11,Total,Females,"European Union - 27 countries (from 2020)"
47,Afghanistan,AF,1930,2019,12,Total,Females,"European Union - 27 countries (from 2020)"
48,Afghanistan,AF,1655,2019,09,Total,Females,"European Union - 28 countries (2013-2020)"
49,Afghanistan,AF,2180,2019,10,Total,Females,"European Union - 28 countries (2013-2020)"
50,Afghanistan,AF,2305,2019,11,Total,Females,"European Union - 28 countries (2013-2020)"
51,Afghanistan,AF,1950,2019,12,Total,Females,"European Union - 28 countries (2013-2020)"
52,Afghanistan,AF,10,2019,09,Total,Females,Finland
53,Afghanistan,AF,0,2019,10,Total,Females,Finland
54,Afghanistan,AF,0,2019,11,Total,Females,Finland
55,Afghanistan,AF,10,2019,12,Total,Females,Finland
56,Afghanistan,AF,95,2019,09,Total,Females,France
57,Afghanistan,AF,65,2019,10,Total,Females,France
58,Afghanistan,AF,60,2019,11,Total,Females,France
59,Afghanistan,AF,100,2019,12,Total,Females,France
60,Afghanistan,AF,20,2019,09,Total,Females,Croatia
61,Afghanistan,AF,10,2019,10,Total,Females,Croatia
62,Afghanistan,AF,20,2019,11,Total,Females,Croatia
63,Afghanistan,AF,10,2019,12,Total,Females,Croatia
64,Afghanistan,AF,5,2019,09,Total,Females,Hungary
