"Index Num","Country of Origin","Country of Origin-ISO2","Asylum Data",Year,Age,Sex,"Country of Asylum"
0,Afghanistan,AF,5,2008,Total,Females,Austria
1,Afghanistan,AF,10,2009,Total,Females,Austria
2,Afghanistan,AF,5,2010,Total,Females,Austria
3,Afghanistan,AF,15,2011,Total,Females,Austria
4,Afghanistan,AF,35,2012,Total,Females,Austria
5,Afghanistan,AF,20,2013,Total,Females,Austria
6,Afghanistan,AF,25,2014,Total,Females,Austria
7,Afghanistan,AF,150,2015,Total,Females,Austria
8,Afghanistan,AF,70,2016,Total,Females,Austria
9,Afghanistan,AF,20,2017,Total,Females,Austria
10,Afghanistan,AF,10,2018,Total,Females,Austria
11,Afghanistan,AF,10,2019,Total,Females,Austria
12,Afghanistan,AF,5,2010,Total,Females,Belgium
13,Afghanistan,AF,15,2011,Total,Females,Belgium
14,Afghanistan,AF,15,2012,Total,Females,Belgium
15,Afghanistan,AF,5,2013,Total,Females,Belgium
16,Afghanistan,AF,10,2014,Total,Females,Belgium
17,Afghanistan,AF,25,2015,Total,Females,Belgium
18,Afghanistan,AF,5,2016,Total,Females,Belgium
19,Afghanistan,AF,5,2017,Total,Females,Belgium
20,Afghanistan,AF,5,2018,Total,Females,Belgium
21,Afghanistan,AF,10,2019,Total,Females,Belgium
22,Afghanistan,AF,5,2014,Total,Females,Bulgaria
23,Afghanistan,AF,5,2015,Total,Females,Bulgaria
24,Afghanistan,AF,15,2016,Total,Females,Bulgaria
25,Afghanistan,AF,5,2010,Total,Females,Switzerland
26,Afghanistan,AF,10,2011,Total,Females,Switzerland
27,Afghanistan,AF,5,2012,Total,Females,Switzerland
28,Afghanistan,AF,5,2013,Total,Females,Switzerland
29,Afghanistan,AF,5,2014,Total,Females,Switzerland
30,Afghanistan,AF,30,2015,Total,Females,Switzerland
31,Afghanistan,AF,30,2016,Total,Females,Switzerland
32,Afghanistan,AF,20,2017,Total,Females,Switzerland
33,Afghanistan,AF,15,2018,Total,Females,Switzerland
34,Afghanistan,AF,25,2019,Total,Females,Switzerland
35,Afghanistan,AF,5,2008,Total,Females,"Germany (until 1990 former territory of the FRG)"
36,Afghanistan,AF,70,2009,Total,Females,"Germany (until 1990 former territory of the FRG)"
37,Afghanistan,AF,70,2010,Total,Females,"Germany (until 1990 former territory of the FRG)"
38,Afghanistan,AF,135,2011,Total,Females,"Germany (until 1990 former territory of the FRG)"
